ID,X1,X2,Y
1,1,1,73
2,1,1,102
3,1,1,118
4,1,1,104
5,1,1,81
6,1,1,107
7,1,1,100
8,1,1,87
9,1,1,117
10,1,1,111
11,2,1,98
12,2,1,74
13,2,1,56
14,2,1,111
15,2,1,95
16,2,1,88
17,2,1,82
18,2,1,77
19,2,1,86
20,2,1,92
21,3,1,94
22,3,1,79
23,3,1,96
24,3,1,98
25,3,1,102
26,3,1,102
27,3,1,108
28,3,1,91
29,3,1,120
30,3,1,105
31,1,2,90
32,1,2,76
33,1,2,90
34,1,2,64
35,1,2,86
36,1,2,51
37,1,2,72
38,1,2,90
39,1,2,95
40,1,2,78
41,2,2,107
42,2,2,95
43,2,2,97
44,2,2,80
45,2,2,98
46,2,2,74
47,2,2,74
48,2,2,67
49,2,2,89
50,2,2,58
51,3,2,49
52,3,2,82
53,3,2,73
54,3,2,86
55,3,2,81
56,3,2,97
57,3,2,106
58,3,2,70
59,3,2,61
60,3,2,82
