ID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10
1,4,4,4,4,4,4,3,3,3,2
2,4,4,3,3,4,4,2,2,4,2
3,5,4,3,4,4,5,2,3,2,4
4,3,4,2,4,4,4,2,4,2,3
5,4,3,4,3,2,3,2,2,3,2
6,4,4,4,4,5,4,2,2,2,4
7,3,4,4,3,3,3,3,2,2,3
8,4,3,4,3,5,4,3,1,1,2
9,3,4,3,3,3,3,3,3,2,3
10,3,3,3,3,4,4,2,4,3,3
11,2,4,3,3,4,4,2,2,5,2
12,4,3,4,3,3,4,2,2,3,3
13,3,3,4,3,4,4,2,2,3,3
14,4,4,4,4,4,4,2,4,2,3
15,4,4,4,4,5,4,2,4,4,4
16,4,4,3,4,4,4,2,4,2,3
17,5,5,5,4,4,4,2,3,2,4
18,4,3,3,3,4,4,2,2,2,3
19,3,4,3,3,5,4,2,2,2,1
20,4,4,4,4,4,4,2,2,2,2
21,4,5,4,4,4,4,2,2,2,4
22,3,4,3,3,4,4,2,1,2,3
23,3,3,4,3,3,4,2,2,2,2
24,4,4,3,3,4,5,2,1,3,3
25,3,5,3,4,5,5,2,3,2,1
26,4,4,3,3,4,4,2,3,3,3
27,4,4,3,2,5,5,2,1,4,2
28,4,4,4,4,4,4,2,2,2,2
29,2,4,2,4,5,4,2,2,2,2
30,4,4,4,3,5,4,2,2,2,3
31,4,4,4,3,4,4,2,2,2,3
32,4,4,4,3,5,4,3,2,2,3
33,2,3,3,3,3,3,3,3,3,3
34,4,4,4,4,4,4,2,2,2,3
35,4,3,3,2,4,4,2,2,2,2
36,3,4,3,4,4,4,2,2,2,2
37,4,2,3,2,4,2,4,2,4,1
38,4,3,3,2,4,3,2,2,3,3
39,4,4,4,3,4,4,2,2,3,2
40,2,2,4,5,5,4,1,2,2,2
41,3,4,2,2,5,4,3,2,3,1
42,2,3,3,3,4,4,4,2,2,2
43,3,3,3,4,4,4,2,3,3,3
44,4,3,3,3,4,4,2,4,3,2
45,3,3,3,3,4,4,3,2,2,2
46,2,3,3,4,4,4,1,2,2,1
47,4,5,3,2,3,3,3,2,1,2
48,4,4,4,4,4,4,2,3,2,1
49,5,4,2,3,4,5,4,2,2,3
50,3,3,4,3,4,4,2,2,2,3
51,4,4,4,3,4,4,2,1,1,1
52,2,3,4,3,4,3,2,2,2,2
53,4,4,3,4,4,5,2,2,3,2
54,3,4,4,3,3,3,3,2,2,3
55,3,4,2,4,3,4,2,3,3,2
56,1,2,3,4,4,3,3,2,2,3
57,3,3,3,4,3,3,2,4,3,2
